               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.083648,             0.17147,            0.011931,             0.39814,             0.30347,             0.28358,              0.1414,            0.091799,             0.22812,            0.021875,           0.0072758,           0.0072758,           0.0072758
                 121,            0.083569,             0.17193,            0.011958,             0.39903,             0.30257,             0.28352,              0.1413,            0.091778,             0.22815,             0.02189,           0.0072361,           0.0072361,           0.0072361
                 122,            0.083637,             0.17158,            0.011944,             0.39741,             0.31112,               0.284,             0.14143,             0.09174,             0.22809,            0.021881,           0.0071962,           0.0071962,           0.0071962
                 123,            0.083763,             0.17251,            0.012015,             0.39819,             0.31089,             0.28407,             0.14157,            0.091715,             0.22803,            0.021846,           0.0071561,           0.0071561,           0.0071561
                 124,            0.083728,             0.17279,            0.011968,             0.39959,             0.31038,             0.28391,              0.1415,            0.091689,             0.22804,            0.021819,            0.007116,            0.007116,            0.007116
                 125,            0.083585,             0.17156,             0.01198,             0.40235,             0.30986,             0.28392,             0.14145,            0.091677,             0.22806,            0.021809,           0.0070757,           0.0070757,           0.0070757
                 126,            0.083427,             0.17126,            0.011966,             0.40697,             0.30594,             0.28355,             0.14126,            0.091678,             0.22803,            0.021786,           0.0070353,           0.0070353,           0.0070353
                 127,            0.083515,             0.17135,               0.012,             0.40473,             0.30804,             0.28389,              0.1414,            0.091681,             0.22797,            0.021756,           0.0069948,           0.0069948,           0.0069948
                 128,            0.083391,             0.17137,            0.011919,             0.39994,             0.31001,             0.28377,             0.14146,            0.091667,               0.228,            0.021682,           0.0069541,           0.0069541,           0.0069541
                 129,            0.083424,             0.17101,            0.011942,             0.36593,             0.33697,             0.28407,             0.14162,             0.09165,             0.22806,            0.021625,           0.0069134,           0.0069134,           0.0069134
                 130,             0.08347,             0.17149,            0.011943,             0.37124,             0.33351,             0.28396,             0.14159,            0.091611,             0.22812,             0.02157,           0.0068726,           0.0068726,           0.0068726
                 131,            0.083404,             0.17118,            0.011904,             0.37614,             0.33101,             0.28377,             0.14153,             0.09159,             0.22824,            0.021557,           0.0068316,           0.0068316,           0.0068316
                 132,            0.083442,             0.17185,            0.011933,             0.38398,             0.32685,             0.28369,             0.14134,            0.091577,             0.22829,            0.021545,           0.0067906,           0.0067906,           0.0067906
                 133,            0.083182,             0.17065,             0.01181,             0.38776,             0.32366,             0.28349,             0.14134,            0.091592,              0.2283,            0.021604,           0.0067495,           0.0067495,           0.0067495
                 134,            0.083471,             0.17076,             0.01189,             0.38887,             0.32367,             0.28355,             0.14118,            0.091603,              0.2283,            0.021626,           0.0067083,           0.0067083,           0.0067083
                 135,            0.083405,             0.17076,            0.011876,             0.38303,             0.32705,             0.28322,             0.14097,            0.091643,             0.22824,            0.021615,           0.0066671,           0.0066671,           0.0066671
                 136,            0.083101,              0.1702,             0.01185,             0.39077,             0.32161,              0.2829,             0.14086,            0.091666,              0.2282,            0.021613,           0.0066257,           0.0066257,           0.0066257
                 137,            0.083303,             0.17108,             0.01182,             0.38547,             0.32439,             0.28276,             0.14071,            0.091706,             0.22823,            0.021622,           0.0065843,           0.0065843,           0.0065843
                 138,            0.083481,             0.17171,            0.011875,             0.38199,             0.32503,             0.28257,             0.14049,            0.091725,             0.22825,            0.021638,           0.0065429,           0.0065429,           0.0065429
                 139,            0.083336,             0.17077,            0.011867,             0.38003,             0.32547,             0.28247,             0.14046,            0.091745,             0.22822,            0.021653,           0.0065013,           0.0065013,           0.0065013
                 140,            0.083279,              0.1713,            0.011825,             0.36973,             0.32264,             0.28145,             0.14016,            0.091766,             0.22815,            0.021666,           0.0064597,           0.0064597,           0.0064597
                 141,            0.083331,             0.17047,            0.011857,             0.38216,             0.32521,             0.28205,             0.13993,            0.091764,             0.22812,            0.021652,           0.0064181,           0.0064181,           0.0064181
                 142,            0.083259,             0.17109,            0.011802,             0.38348,             0.32518,             0.28192,             0.13983,            0.091753,             0.22809,            0.021661,           0.0063764,           0.0063764,           0.0063764
