               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 268,            0.090584,              0.1576,             0.01463,             0.48329,             0.31752,             0.30854,             0.16365,            0.090536,             0.24231,            0.022088,           0.0022365,           0.0022365,           0.0022365
                 269,            0.090153,             0.15596,            0.014514,              0.4801,             0.31923,             0.30842,             0.16343,            0.090537,             0.24227,            0.022089,           0.0022225,           0.0022225,           0.0022225
                 270,            0.090586,             0.15722,            0.014673,             0.47901,             0.31884,             0.30834,             0.16356,            0.090537,              0.2424,            0.022089,           0.0022089,           0.0022089,           0.0022089
                 271,            0.089806,              0.1553,            0.014535,              0.4726,             0.32139,             0.30862,             0.16334,            0.090539,             0.24228,            0.022089,           0.0021958,           0.0021958,           0.0021958
                 272,            0.090584,             0.15791,            0.014646,             0.48125,             0.31805,             0.30842,             0.16326,            0.090539,             0.24234,            0.022088,            0.002183,            0.002183,            0.002183
                 273,             0.08979,             0.15512,            0.014496,             0.47367,             0.32114,             0.30827,             0.16321,            0.090541,             0.24241,            0.022088,           0.0021707,           0.0021707,           0.0021707
                 274,             0.09021,             0.15672,            0.014739,             0.48368,             0.31736,              0.3082,             0.16321,            0.090544,             0.24245,            0.022087,           0.0021588,           0.0021588,           0.0021588
                 275,            0.089869,             0.15687,            0.014413,             0.47704,             0.31975,              0.3081,             0.16312,            0.090546,             0.24255,            0.022088,           0.0021473,           0.0021473,           0.0021473
                 276,            0.090329,             0.15684,            0.014605,             0.47613,             0.31999,             0.30802,             0.16321,            0.090547,             0.24256,            0.022088,           0.0021363,           0.0021363,           0.0021363
                 277,            0.089804,             0.15623,            0.014494,             0.47483,             0.32092,             0.30807,             0.16351,            0.090549,             0.24261,            0.022089,           0.0021257,           0.0021257,           0.0021257
                 278,            0.089916,              0.1569,            0.014511,             0.48413,             0.31736,             0.30804,             0.16346,            0.090551,              0.2426,             0.02209,           0.0021155,           0.0021155,           0.0021155
                 279,            0.090028,             0.15724,            0.014561,             0.48594,             0.31645,             0.30794,             0.16356,            0.090553,              0.2426,            0.022092,           0.0021057,           0.0021057,           0.0021057
                 280,            0.089912,             0.15786,            0.014553,             0.48634,             0.31662,             0.30822,             0.16347,            0.090554,             0.24266,            0.022092,           0.0020963,           0.0020963,           0.0020963
                 281,             0.09005,             0.15748,             0.01449,             0.48691,             0.31649,             0.30808,             0.16351,            0.090556,             0.24263,            0.022093,           0.0020874,           0.0020874,           0.0020874
                 282,             0.09044,             0.15795,            0.014399,             0.46814,             0.32302,             0.30811,             0.16327,            0.090557,             0.24278,            0.022093,           0.0020789,           0.0020789,           0.0020789
                 283,            0.089682,             0.15491,            0.014464,             0.47124,             0.32121,             0.30777,             0.16334,            0.090559,              0.2427,            0.022094,           0.0020709,           0.0020709,           0.0020709
                 284,            0.090246,             0.15853,             0.01441,             0.47037,             0.32163,             0.30792,             0.16337,            0.090559,             0.24274,            0.022094,           0.0020632,           0.0020632,           0.0020632
                 285,            0.090593,             0.15744,            0.014656,             0.47269,             0.32054,             0.30782,             0.16323,            0.090561,             0.24287,            0.022096,            0.002056,            0.002056,            0.002056
                 286,            0.090051,             0.15586,            0.014415,             0.47057,             0.32152,             0.30803,             0.16347,            0.090563,             0.24286,            0.022097,           0.0020492,           0.0020492,           0.0020492
                 287,            0.089781,             0.15315,            0.014442,             0.47038,             0.32197,             0.30781,             0.16358,            0.090564,             0.24285,            0.022098,           0.0020429,           0.0020429,           0.0020429
                 288,             0.08962,             0.15533,            0.014447,               0.468,             0.32277,             0.30789,             0.16368,            0.090566,              0.2429,            0.022098,            0.002037,            0.002037,            0.002037
                 289,             0.08983,             0.15603,            0.014502,             0.47046,              0.3214,             0.30786,             0.16352,            0.090566,             0.24289,            0.022096,           0.0020315,           0.0020315,           0.0020315
                 290,            0.090226,             0.15635,            0.014408,             0.46963,             0.32186,             0.30776,             0.16347,            0.090567,             0.24291,            0.022098,           0.0020265,           0.0020265,           0.0020265
                 291,            0.090052,             0.15778,            0.014406,             0.46964,              0.3214,             0.30777,             0.16337,            0.090568,             0.24295,            0.022099,           0.0020219,           0.0020219,           0.0020219
                 292,             0.08989,             0.15637,            0.014417,             0.47609,             0.31889,             0.30772,             0.16349,            0.090568,             0.24298,              0.0221,           0.0020178,           0.0020178,           0.0020178
                 293,            0.090084,             0.15701,            0.014449,              0.4772,             0.31847,             0.30815,             0.16339,             0.09057,             0.24307,            0.022101,            0.002014,            0.002014,            0.002014
                 294,            0.090223,             0.15625,            0.014297,             0.47905,             0.31793,             0.30794,             0.16333,            0.090572,               0.243,            0.022104,           0.0020107,           0.0020107,           0.0020107
                 295,            0.090185,             0.15676,            0.014582,             0.47964,             0.31786,             0.30877,             0.16339,            0.090573,             0.24307,            0.022105,           0.0020079,           0.0020079,           0.0020079
                 296,            0.090381,              0.1585,             0.01439,             0.47783,             0.31891,             0.30883,             0.16348,            0.090574,               0.243,            0.022104,           0.0020055,           0.0020055,           0.0020055
                 297,            0.090135,             0.15559,            0.014356,             0.47675,               0.319,             0.30863,             0.16364,            0.090576,             0.24307,            0.022103,           0.0020035,           0.0020035,           0.0020035
                 298,            0.090004,             0.15762,            0.014402,             0.47575,             0.32017,             0.30861,             0.16354,            0.090577,             0.24315,            0.022104,            0.002002,            0.002002,            0.002002
                 299,            0.090143,             0.15589,            0.014478,             0.47811,             0.31944,             0.30845,             0.16349,            0.090579,             0.24312,            0.022105,           0.0020009,           0.0020009,           0.0020009
